,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
276,2032,30,30°,Plenum-1,1.948404584266035e-14,5,1.9484045842660351
277,2033,-30,-30°,Plenum-1,3.6072551358249296e-14,5,3.6072551358249294
278,2033,0,0°,IceCube,3.7257515244615824e-14,5,3.7257515244615824
279,2033,0,0°,Plenum-1,2.633131040252875e-14,5,2.633131040252875
280,2033,30,30°,IceCube,2.0476398416545894e-14,5,2.0476398416545893
281,2033,30,30°,Plenum-1,1.8775793727237332e-14,5,1.877579372723733
282,2034,-30,-30°,Plenum-1,3.2476363367422325e-14,5,3.2476363367422327
283,2034,0,0°,IceCube,3.6396166897368506e-14,5,3.6396166897368505
284,2034,0,0°,Plenum-1,2.4807624341495102e-14,5,2.48076243414951
285,2034,30,30°,IceCube,1.9991293250557612e-14,5,1.9991293250557611
286,2034,30,30°,Plenum-1,1.8136939002348838e-14,5,1.8136939002348837
287,2035,-30,-30°,Plenum-1,2.9740715179005393e-14,5,2.9740715179005393
288,2035,-30,-30°,Plenum-2,2.9740715179005393e-14,5,2.9740715179005393
289,2035,0,0°,IceCube,3.5589342239965355e-14,5,3.5589342239965354
290,2035,0,0°,Plenum-1,2.3512014370921807e-14,5,2.3512014370921808
291,2035,0,0°,Plenum-2,2.3512014370921807e-14,5,2.3512014370921808
292,2035,30,30°,IceCube,1.953750097550824e-14,5,1.953750097550824
293,2035,30,30°,Plenum-1,1.755692727023874e-14,5,1.755692727023874
294,2035,30,30°,Plenum-2,1.755692727023874e-14,5,1.755692727023874
295,2036,-30,-30°,Plenum-1,2.757303458452497e-14,5,2.757303458452497
296,2036,-30,-30°,Plenum-2,2.757303458452497e-14,5,2.757303458452497
297,2036,0,0°,IceCube,3.4832122866273926e-14,5,3.4832122866273925
298,2036,0,0°,Plenum-1,2.2393323969695455e-14,5,2.2393323969695453
299,2036,0,0°,Plenum-2,2.113432902488909e-14,5,2.113432902488909
300,2036,30,30°,IceCube,1.9111843534908928e-14,5,1.9111843534908928
301,2036,30,30°,Plenum-1,1.7027319081825365e-14,5,1.7027319081825365
302,2036,30,30°,Plenum-2,1.536694118039991e-14,5,1.536694118039991
303,2037,-30,-30°,Plenum-1,2.5802683501448614e-14,5,2.5802683501448613
304,2037,-30,-30°,Plenum-2,2.5802683501448614e-14,5,2.5802683501448613
305,2037,0,0°,IceCube,3.411962873879399e-14,5,3.4119628738793986
306,2037,0,0°,Plenum-1,2.1415081176251665e-14,5,2.1415081176251665
307,2037,0,0°,Plenum-2,1.9344149797160145e-14,5,1.9344149797160146
308,2037,30,30°,IceCube,1.8711577152007593e-14,5,1.8711577152007592
309,2037,30,30°,Plenum-1,1.6541306084173184e-14,5,1.6541306084173184
310,2037,30,30°,Plenum-2,1.3812967367525106e-14,5,1.3812967367525106
311,2038,-30,-30°,Plenum-1,2.4322780633645e-14,5,2.4322780633645
312,2038,-30,-30°,Plenum-2,2.4322780633645e-14,5,2.4322780633645
313,2038,0,0°,IceCube,3.3447628140846145e-14,5,3.3447628140846146
314,2038,0,0°,Plenum-1,2.0550473621274914e-14,5,2.0550473621274916
315,2038,0,0°,Plenum-2,1.7935341086005314e-14,5,1.7935341086005314
316,2038,30,30°,IceCube,1.8334304373800687e-14,5,1.8334304373800687
317,2038,30,30°,Plenum-1,1.609321887867749e-14,5,1.6093218878677489
318,2038,30,30°,Plenum-2,1.2639217926237601e-14,5,1.26392179262376
319,2039,-30,-30°,Plenum-1,2.306258515017026e-14,5,2.306258515017026
320,2039,-30,-30°,Plenum-2,2.306258515017026e-14,5,2.306258515017026
321,2039,0,0°,IceCube,3.2812467205389654e-14,5,3.2812467205389653
322,2039,0,0°,Plenum-1,1.9779978626041292e-14,5,1.9779978626041292
323,2039,0,0°,Plenum-2,1.6790630391576036e-14,5,1.6790630391576036
324,2039,30,30°,IceCube,1.7977943828118168e-14,5,1.7977943828118168
325,2039,30,30°,Plenum-1,1.5678463037583922e-14,5,1.5678463037583923
326,2039,30,30°,Plenum-2,1.1713521002093869e-14,5,1.171352100209387
327,2040,-30,-30°,Plenum-1,2.1973210956501748e-14,5,2.197321095650175
328,2040,-30,-30°,Plenum-2,2.1973210956501748e-14,5,2.197321095650175
329,2040,-30,-30°,Plenum-3,2.1973210956501748e-14,5,2.197321095650175
330,2040,0,0°,IceCube,3.221094006381633e-14,5,3.2210940063816333
331,2040,0,0°,Plenum-1,1.9086513481347832e-14,5,1.9086513481347833
332,2040,0,0°,Plenum-2,1.5836038997427252e-14,5,1.583603899742725
333,2040,0,0°,Plenum-3,1.5836038997427252e-14,5,1.583603899742725
334,2040,30,30°,IceCube,1.7640659538359462e-14,5,1.7640659538359462
335,2040,30,30°,Plenum-1,1.5293129623012712e-14,5,1.5293129623012711
336,2040,30,30°,Plenum-2,1.0959989911680834e-14,5,1.0959989911680834
337,2040,30,30°,Plenum-3,1.0959989911680834e-14,5,1.0959989911680834
338,2041,-30,-30°,Plenum-1,2.1019684396188847e-14,5,2.1019684396188847
339,2041,-30,-30°,Plenum-2,2.1019684396188847e-14,5,2.1019684396188847
340,2041,-30,-30°,Plenum-3,1.3593920057169518e-14,5,1.3593920057169517
341,2041,0,0°,IceCube,3.164021369842688e-14,5,3.164021369842688
342,2041,0,0°,Plenum-1,1.84588297728592e-14,5,1.84588297728592
343,2041,0,0°,Plenum-2,1.5024745611231845e-14,5,1.5024745611231844
344,2041,0,0°,Plenum-3,1.1973715737070109e-14,5,1.197371573707011
345,2041,30,30°,IceCube,1.7320832596660793e-14,5,1.7320832596660793
346,2041,30,30°,Plenum-1,1.4933922286097686e-14,5,1.4933922286097687
347,2041,30,30°,Plenum-2,1.0331542633342947e-14,5,1.0331542633342947
348,2041,30,30°,Plenum-3,9.563279272546035e-15,5,0.9563279272546035
349,2042,-30,-30°,Plenum-1,2.017624502866738e-14,5,2.0176245028667377
350,2042,-30,-30°,Plenum-2,2.017624502866738e-14,5,2.0176245028667377
351,2042,-30,-30°,Plenum-3,1.062118646223742e-14,5,1.062118646223742
352,2042,0,0°,IceCube,3.1097777467518703e-14,5,3.1097777467518704
