,Local source density,width,Fraction of total flux,E2flux,Nsrc,cumulative_Nsrc,flux
50,$10^{-7}$/Mpc$^3$,SC,1.0,-11.744966442953022,533.1783221633482,1052.4994843700097,-15.344966442953021
51,$10^{-7}$/Mpc$^3$,SC,1.0,-11.97986577181208,1003.550663239577,2056.050147609587,-15.579865771812079
52,$10^{-7}$/Mpc$^3$,SC,1.0,-12.21476510067114,1955.6178728761408,4011.6680204857275,-15.81476510067114
53,$10^{-7}$/Mpc$^3$,SC,1.0,-12.449664429530202,3600.264448333778,7611.932468819506,-16.049664429530203
54,$10^{-7}$/Mpc$^3$,SC,1.0,-12.684563758389263,6623.1647072801015,14235.097176099607,-16.28456375838926
55,$10^{-7}$/Mpc$^3$,SC,1.0,-12.919463087248324,11735.007418769066,25970.104594868673,-16.519463087248326
56,$10^{-7}$/Mpc$^3$,SC,1.0,-13.154362416107382,20402.714498645986,46372.819093514656,-16.754362416107384
57,$10^{-7}$/Mpc$^3$,SC,1.0,-13.389261744966444,34184.51844788932,80557.33754140398,-16.98926174496644
58,$10^{-7}$/Mpc$^3$,SC,1.0,-13.624161073825505,54756.07017537196,135313.40771677595,-17.224161073825506
59,$10^{-7}$/Mpc$^3$,SC,1.0,-13.859060402684563,83412.52632555069,218725.93404232664,-17.459060402684564
60,$10^{-7}$/Mpc$^3$,SC,1.0,-14.093959731543624,116046.73344211275,334772.6674844394,-17.69395973154362
61,$10^{-7}$/Mpc$^3$,SC,1.0,-14.328859060402685,145315.1567306869,480087.8242151263,-17.928859060402687
62,$10^{-7}$/Mpc$^3$,SC,1.0,-14.563758389261746,161272.2066556526,641360.030870779,-18.163758389261744
63,$10^{-7}$/Mpc$^3$,SC,1.0,-14.798657718120808,159379.7142581488,800739.7451289278,-18.39865771812081
64,$10^{-7}$/Mpc$^3$,SC,1.0,-15.033557046979865,141642.78582223447,942382.5309511621,-18.633557046979867
65,$10^{-7}$/Mpc$^3$,SC,1.0,-15.268456375838927,116229.43449832837,1058611.9654494906,-18.868456375838925
66,$10^{-7}$/Mpc$^3$,SC,1.0,-15.503355704697988,90129.94840544999,1148741.9138549406,-19.10335570469799
67,$10^{-7}$/Mpc$^3$,SC,1.0,-15.738255033557046,66851.69733684446,1215593.611191785,-19.338255033557047
68,$10^{-7}$/Mpc$^3$,SC,1.0,-15.973154362416107,47897.64185051667,1263491.2530423016,-19.573154362416105
69,$10^{-7}$/Mpc$^3$,SC,1.0,-16.20805369127517,33510.31190005281,1297001.5649423546,-19.80805369127517
70,$10^{-7}$/Mpc$^3$,SC,1.0,-16.44295302013423,22888.65661425656,1319890.2215566111,-20.042953020134227
71,$10^{-7}$/Mpc$^3$,SC,1.0,-16.67785234899329,9486.622703479496,1329376.8442600905,-20.277852348993292
72,$10^{-7}$/Mpc$^3$,SC,1.0,-16.91275167785235,0.0,1329376.8442600905,-20.51275167785235
73,$10^{-7}$/Mpc$^3$,SC,1.0,-17.14765100671141,0.0,1329376.8442600905,-20.747651006711408
74,$10^{-7}$/Mpc$^3$,SC,1.0,-17.38255033557047,0.0,1329376.8442600905,-20.982550335570473
75,$10^{-7}$/Mpc$^3$,SC,1.0,-17.61744966442953,0.0,1329376.8442600905,-21.21744966442953
76,$10^{-7}$/Mpc$^3$,SC,1.0,-17.85234899328859,0.0,1329376.8442600905,-21.452348993288588
77,$10^{-7}$/Mpc$^3$,SC,1.0,-18.08724832214765,0.0,1329376.8442600905,-21.687248322147653
78,$10^{-7}$/Mpc$^3$,SC,1.0,-18.322147651006713,0.0,1329376.8442600905,-21.92214765100671
79,$10^{-7}$/Mpc$^3$,SC,1.0,-18.557046979865774,0.0,1329376.8442600905,-22.157046979865775
80,$10^{-7}$/Mpc$^3$,SC,1.0,-18.79194630872483,0.0,1329376.8442600905,-22.391946308724833
81,$10^{-7}$/Mpc$^3$,SC,1.0,-19.026845637583893,0.0,1329376.8442600905,-22.62684563758389
82,$10^{-7}$/Mpc$^3$,SC,1.0,-19.261744966442954,0.0,1329376.8442600905,-22.861744966442956
83,$10^{-7}$/Mpc$^3$,SC,1.0,-19.496644295302012,0.0,1329376.8442600905,-23.096644295302013
84,$10^{-7}$/Mpc$^3$,SC,1.0,-19.731543624161073,0.0,1329376.8442600905,-23.33154362416107
85,$10^{-7}$/Mpc$^3$,SC,1.0,-19.966442953020135,0.0,1329376.8442600905,-23.566442953020136
86,$10^{-7}$/Mpc$^3$,SC,1.0,-20.201342281879196,0.0,1329376.8442600905,-23.801342281879194
